run_id,status,context_target,concurrency,repetitions,requests_planned,requests_success,requests_failed,prompt_tokens_min,prompt_tokens_p50,prompt_tokens_max,completion_tokens_total,ttft_ms_p50,ttft_ms_p95,ttft_ms_p99,latency_ms_p50,latency_ms_p95,latency_ms_p99,input_tokens_per_second,output_tokens_per_second,total_tokens_per_second,wave_wall_seconds,error_summary,started_at,finished_at
dsv4-r1-20260820T084738Z,pending,110000,6,1,6,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,110000,7,1,7,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,110000,8,1,8,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,110000,9,1,9,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,110000,10,1,10,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,110000,11,1,11,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,110000,12,1,12,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,110000,13,1,13,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,110000,14,1,14,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,110000,15,1,15,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,110000,16,1,16,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,120000,1,1,1,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,120000,2,1,2,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,120000,3,1,3,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,120000,4,1,4,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,120000,5,1,5,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,120000,6,1,6,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,120000,7,1,7,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,120000,8,1,8,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,120000,9,1,9,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,120000,10,1,10,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,120000,11,1,11,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,120000,12,1,12,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,120000,13,1,13,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,120000,14,1,14,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,120000,15,1,15,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,120000,16,1,16,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,130000,1,1,1,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,130000,2,1,2,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,130000,3,1,3,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,130000,4,1,4,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,130000,5,1,5,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,130000,6,1,6,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,130000,7,1,7,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,130000,8,1,8,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,130000,9,1,9,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,130000,10,1,10,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,130000,11,1,11,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,130000,12,1,12,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,130000,13,1,13,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,130000,14,1,14,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,130000,15,1,15,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,130000,16,1,16,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,140000,1,1,1,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,140000,2,1,2,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,140000,3,1,3,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,140000,4,1,4,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,140000,5,1,5,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,140000,6,1,6,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,140000,7,1,7,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,140000,8,1,8,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,140000,9,1,9,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,140000,10,1,10,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,140000,11,1,11,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,140000,12,1,12,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,140000,13,1,13,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,140000,14,1,14,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,140000,15,1,15,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,140000,16,1,16,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,150000,1,1,1,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,150000,2,1,2,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,150000,3,1,3,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,150000,4,1,4,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,150000,5,1,5,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,150000,6,1,6,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,150000,7,1,7,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,150000,8,1,8,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,150000,9,1,9,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,150000,10,1,10,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,150000,11,1,11,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,150000,12,1,12,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,150000,13,1,13,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,150000,14,1,14,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,150000,15,1,15,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,150000,16,1,16,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,160000,1,1,1,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,160000,2,1,2,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,160000,3,1,3,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,160000,4,1,4,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,160000,5,1,5,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,160000,6,1,6,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,160000,7,1,7,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,160000,8,1,8,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,160000,9,1,9,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,160000,10,1,10,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,160000,11,1,11,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,160000,12,1,12,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,160000,13,1,13,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,160000,14,1,14,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,160000,15,1,15,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,160000,16,1,16,0,0,,,,,,,,,,,,,,,,,
dsv4-r1-20260820T084738Z,pending,170000,1,1,1,0,0,,,,,,,,,,,,,,,,,
